pairId,tenderA_id,tenderB_id,departmentA,departmentB,sameDepartment,categoryA,categoryB,categoryGroupA,categoryGroupB,categorySimilarity,categoryRelation,titleA,titleB,titleSimilarity,descriptionSimilarity,districtA,districtB,sameDistrict,latitudeA,longitudeA,latitudeB,longitudeB,distanceMeters,distanceKm,conflictRadiusMeters,yearA,yearB,generationStrategy,labelSource,conflictLabel
TN/IT/2022/28_TN/WRD/2025/108,TN/IT/2022/28,TN/WRD/2025/108,Information Technology Department,Water Resources Department,False,e-Governance System Development,Drainage Construction,IT,WATER,0.006,Unrelated,Development of e-Governance System Development at Sivaganga Phase II,Providing Drainage Construction at Dindigul Package B,0.331,0.049,Sivaganga,Dindigul,False,9.8274,78.485899,8.993171,77.429664,148424.37,148.424,5000,2022,2025,negative_unrelated_far,rule_based_synthetic,0
TN/RDPR/2023/93_TN/TOURISM/2022/19,TN/RDPR/2023/93,TN/TOURISM/2022/19,Rural Development and Panchayat Raj Department,Tourism Department,False,Electrical Substation Construction,Catering Services,POWER,SERVICES,0.089,Unrelated,Supply and Commissioning of Electrical Substation Construction at Dindigul Stage 1,Improvement of Catering Services at Dindigul,0.397,0.806,Dindigul,Dindigul,True,10.461385,77.937009,10.459922,77.936103,190.47,0.19,5000,2023,2022,hard_negative_close_unrelated,rule_based_synthetic,0
TN/SED/2026/86_TN/WRD/2024/234,TN/SED/2026/86,TN/WRD/2024/234,School Education Department,Water Resources Department,False,Building Construction,Drainage Construction,BUILD,WATER,0.194,Unrelated,Supply and Commissioning of Building Construction at Nagapattinam Package A,Installation of Drainage Construction at Nagapattinam Zone 2,0.652,0.897,Nagapattinam,Nagapattinam,True,10.701177,79.875113,10.696187,79.863924,1342.56,1.343,5000,2026,2024,hard_negative_close_unrelated,rule_based_synthetic,0
TN/PWD/2024/128_TN/TANGEDCO/2022/266,TN/PWD/2024/128,TN/TANGEDCO/2022/266,Public Works Department,Tamil Nadu Generation and Distribution Corporation,False,Housing Scheme Construction,Transformer Installation,BUILD,POWER,0.43,Related,Construction of Housing Scheme Construction at Thoothukudi Phase II,Development of Transformer Installation at Erode Stage 1,0.423,0.707,Thoothukudi,Erode,False,8.689017,78.132669,8.507943,78.224094,22504.13,22.504,5000,2024,2022,hard_negative_related_far,rule_based_synthetic,0
TN/PWD/2026/116_TN/TANGEDCO/2025/204,TN/PWD/2026/116,TN/TANGEDCO/2025/204,Public Works Department,Tamil Nadu Generation and Distribution Corporation,False,Hospital Building Construction,Transformer Installation,BUILD,POWER,0.396,Related,Construction of Hospital Building Construction at Sivaganga Package B,Development of Transformer Installation at Thanjavur Phase I,0.45,0.096,Sivaganga,Thanjavur,False,9.935902,78.502788,9.809433,78.72797,28395.15,28.395,5000,2026,2025,hard_negative_related_far,rule_based_synthetic,0
TN/SED/2022/65_TN/TANGEDCO/2025/258,TN/SED/2022/65,TN/TANGEDCO/2025/258,School Education Department,Tamil Nadu Generation and Distribution Corporation,False,Hospital Building Construction,Transformer Installation,BUILD,POWER,0.525,Related,Improvement of Hospital Building Construction at Nagapattinam under Centrally Sponsored Scheme,Construction of Transformer Installation at Tirunelveli Phase II,0.291,0.094,Nagapattinam,Tirunelveli,False,10.832092,79.799806,10.648896,78.396446,154659.96,154.66,5000,2022,2025,hard_negative_related_far,rule_based_synthetic,0
TN/AGRI/2024/1_TN/AGRI/2024/2,TN/AGRI/2024/1,TN/AGRI/2024/2,Agriculture Department,Agriculture Department,True,Agricultural Godown Construction,Agricultural Godown Construction,AGRI,AGRI,0.949,Related,Installation of Agricultural Godown Construction at Ariyalur Zone 1,Providing Agricultural Godown Construction at Ariyalur Phase II,0.754,0.135,Ariyalur,Ariyalur,True,11.184016,79.001078,11.186372,79.028531,3006.09,3.006,5000,2024,2024,positive_same_category_close,rule_based_synthetic,1
TN/HED/2026/23_TN/HWD/2024/21,TN/HWD/2024/21,TN/HED/2026/23,Highways Department,Higher Education Department,False,Road Construction,Sewerage Construction,ROAD,WATER,0.57,Related,Providing Road Construction at Chennai Phase II,Upgradation of Sewerage Construction at Chennai under State Plan,0.559,0.433,Chennai,Chennai,True,13.025207,80.327991,13.049937,80.297172,4325.25,4.325,5000,2024,2026,positive_related_diff_category_close,rule_based_synthetic,1
TN/TANGEDCO/2023/5_TN/TANGEDCO/2024/5,TN/TANGEDCO/2024/5,TN/TANGEDCO/2023/5,Tamil Nadu Generation and Distribution Corporation,Tamil Nadu Generation and Distribution Corporation,True,Street Lighting Installation,Street Lighting Installation,POWER,POWER,0.967,Related,Construction of Street Lighting Installation at Kanyakumari Zone 2,Upgradation of Street Lighting Installation at Kanyakumari Zone 2,0.901,1.0,Kanyakumari,Kanyakumari,True,8.051865,77.597826,8.063988,77.581317,2262.92,2.263,5000,2024,2023,positive_same_category_close,rule_based_synthetic,1
TN/AGRI/2023/2_TN/WRD/2023/4,TN/WRD/2023/4,TN/AGRI/2023/2,Water Resources Department,Agriculture Department,False,Check Dam Construction,Check Dam Construction,AGRI,AGRI,0.93,Related,Upgradation of Check Dam Construction at Sivaganga under State Plan,Providing Check Dam Construction at Sivaganga Zone 2,0.689,0.952,Sivaganga,Sivaganga,True,9.81591,78.412435,9.803811,78.442035,3511.21,3.511,5000,2023,2023,positive_same_category_close,rule_based_synthetic,1
